candidate,feature_group,ratio_variant,clip_name,revenue_weight,ratio_weight,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mae,avg_mape,weighted_avg_mape,scenario_weight_total,scenarios_covered,folds_evaluated
ratio_all_flex_business_rw1.35_cw1.00,all,flex,business,1.35,1.0,151072.3224363536,6.34385825678167,165503.34672792096,7.42787755098143,158287.8345821373,6.88586790388155,7.954125849944347,1.0,4,8
ratio_all_flex_wide_rw1.35_cw1.00,all,flex,wide,1.35,1.0,151072.3224363536,6.34385825678167,165503.34672792096,7.42787755098143,158287.8345821373,6.88586790388155,7.954125849944347,1.0,4,8
ratio_all_base_mid_rw1.25_cw1.25,all,base,mid,1.25,1.25,145560.3488750278,6.254733388008897,162394.87497498444,7.330726360153825,153977.61192500612,6.792729874081361,7.956484421415358,1.0,4,8
ratio_all_base_mid_rw1.25_cw1.05,all,base,mid,1.25,1.05,145560.3488750278,6.254733388008897,161293.93871555553,7.323752521080646,153427.14379529166,6.789242954544771,7.95777936017809,1.0,4,8
ratio_all_base_mid_rw1.30_cw1.00,all,base,mid,1.3,1.0,146680.28370565793,6.255439574885558,166261.96037294605,7.456002089138802,156471.12203930196,6.85572083201218,7.9595588916353845,1.0,4,8
ratio_all_flex_mid_rw1.25_cw1.10,all,flex,mid,1.25,1.1,145560.3488750278,6.254733388008897,160071.36767438048,7.291882911921074,152815.85827470414,6.773308149964985,7.964663265066501,1.0,4,8
ratio_all_flex_mid_rw1.30_cw1.00,all,flex,mid,1.3,1.0,146680.28370565793,6.255439574885558,164315.86896382098,7.409119005481102,155498.07633473945,6.83227929018333,7.965666872531306,1.0,4,8
ratio_all_base_business_rw1.20_cw1.10,all,base,business,1.2,1.1,147990.95093434755,6.354993051249576,156167.69625005624,7.18564438633448,152079.3235922019,6.770318718792028,7.966053762084885,1.0,4,8
ratio_all_base_wide_rw1.20_cw1.10,all,base,wide,1.2,1.1,147990.95093434755,6.354993051249576,156167.69625005624,7.18564438633448,152079.3235922019,6.770318718792028,7.966053762084885,1.0,4,8
ratio_all_base_business_rw1.20_cw1.15,all,base,business,1.2,1.15,147990.95093434755,6.354993051249576,156979.84184275044,7.200111997460077,152485.396388549,6.777552524354826,7.966396963338397,1.0,4,8
ratio_all_base_wide_rw1.20_cw1.15,all,base,wide,1.2,1.15,147990.95093434755,6.354993051249576,156979.84184275044,7.200111997460077,152485.396388549,6.777552524354826,7.966396963338397,1.0,4,8
ratio_all_flex_mid_rw1.25_cw1.05,all,flex,mid,1.25,1.05,145560.3488750278,6.254733388008897,159898.78427042364,7.2963291884897625,152729.56657272571,6.775531288249329,7.967284750260754,1.0,4,8
ratio_all_flex_mid_rw1.25_cw1.15,all,flex,mid,1.25,1.15,145560.3488750278,6.254733388008897,160882.24860521936,7.307500924071594,153221.29874012357,6.781117156040246,7.9674696273692,1.0,4,8
ratio_all_base_mid_rw1.25_cw1.30,all,base,mid,1.25,1.3,145560.3488750278,6.254733388008897,164011.46082405787,7.380241735994874,154785.90484954283,6.817487562001885,7.967989446978171,1.0,4,8
ratio_all_flex_mid_rw1.30_cw1.30,all,flex,mid,1.3,1.3,146680.28370565793,6.255439574885558,166043.3316155176,7.439277839385815,156361.80766058777,6.847358707135687,7.968080134307419,1.0,4,8
ratio_all_base_business_rw1.20_cw1.20,all,base,business,1.2,1.2,147990.95093434755,6.354993051249576,157999.16275258447,7.222030219838068,152995.056843466,6.788511635543822,7.96873335894474,1.0,4,8
ratio_all_base_wide_rw1.20_cw1.20,all,base,wide,1.2,1.2,147990.95093434755,6.354993051249576,157999.16275258447,7.222030219838068,152995.056843466,6.788511635543822,7.96873335894474,1.0,4,8
ratio_all_base_business_rw1.20_cw1.05,all,base,business,1.2,1.05,147990.95093434755,6.354993051249576,156115.14828492358,7.194373954224103,152053.04960963558,6.774683502736838,7.97123319590688,1.0,4,8
ratio_all_base_wide_rw1.20_cw1.05,all,base,wide,1.2,1.05,147990.95093434755,6.354993051249576,156115.14828492358,7.194373954224103,152053.04960963558,6.774683502736838,7.97123319590688,1.0,4,8
ratio_all_base_mid_rw1.25_cw1.00,all,base,mid,1.25,1.0,145560.3488750278,6.254733388008897,162739.0236723807,7.373334881744722,154149.68627370422,6.81403413487681,7.971723094700826,1.0,4,8
ratio_all_flex_mid_rw1.25_cw1.20,all,flex,mid,1.25,1.2,145560.3488750278,6.254733388008897,162062.1583123625,7.336625357395446,153811.25359369515,6.795679372702171,7.973953496525632,1.0,4,8
ratio_all_base_business_rw1.35_cw0.95,all,base,business,1.35,0.95,151072.3224363536,6.34385825678167,169711.03897786955,7.548647509586377,160391.6807071116,6.946252883184024,7.974214489016606,1.0,4,8
ratio_all_base_wide_rw1.35_cw0.95,all,base,wide,1.35,0.95,151072.3224363536,6.34385825678167,169711.03897786955,7.548647509586377,160391.6807071116,6.946252883184024,7.974214489016606,1.0,4,8
ratio_all_base_business_rw1.20_cw1.25,all,base,business,1.2,1.25,147990.95093434755,6.354993051249576,159337.6489320679,7.2574242960047535,153664.29993320775,6.8062086736271645,7.97518667119215,1.0,4,8
ratio_all_base_wide_rw1.20_cw1.25,all,base,wide,1.2,1.25,147990.95093434755,6.354993051249576,159337.6489320679,7.2574242960047535,153664.29993320775,6.8062086736271645,7.97518667119215,1.0,4,8
