scenario,fold,valid_days,scenario_weight,valid_start,valid_end,candidate,feature_group,ratio_variant,clip_name,revenue_weight,ratio_weight,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mape,avg_mae
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.30_cw1.20,no_web,conservative,mid,1.3,1.2,141211.8423333334,4.662018788237728,191867.3316666667,6.703064611399951,5.68254169981884,166539.58700000006
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.30_cw1.25,no_web,conservative,mid,1.3,1.25,141211.8423333334,4.662018788237728,187514.2861111111,6.57254082237238,5.6172798053050546,164363.06422222225
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.30_cw1.30,no_web,conservative,mid,1.3,1.3,141211.8423333334,4.662018788237728,183217.97944444447,6.444829689265474,5.553424238751601,162214.91088888893
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.35_cw0.95,no_web,conservative,mid,1.35,0.95,137738.2705555556,4.5997834188370765,226067.70555555556,7.667332808143344,6.13355811349021,181902.98805555556
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.35_cw1.00,no_web,conservative,mid,1.35,1.0,137738.2705555556,4.5997834188370765,220981.7461111111,7.513294676064318,6.056539047450697,179360.00833333336
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.35_cw1.05,no_web,conservative,mid,1.35,1.05,137738.2705555556,4.5997834188370765,215977.12900000004,7.36187749960364,5.980830459220359,176857.69977777783
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.35_cw1.10,no_web,conservative,mid,1.35,1.1,137738.2705555556,4.5997834188370765,211092.47500000003,7.214318987876811,5.907051203356944,174415.3727777778
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.35_cw1.15,no_web,conservative,mid,1.35,1.15,137738.2705555556,4.5997834188370765,206216.821,7.066988800185772,5.833386109511425,171977.5457777778
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.35_cw1.20,no_web,conservative,mid,1.35,1.2,137738.2705555556,4.5997834188370765,201543.97900000002,6.92480227307488,5.762292845955978,169641.12477777782
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.35_cw1.25,no_web,conservative,mid,1.35,1.25,137738.2705555556,4.5997834188370765,196871.15688888895,6.782616376248915,5.691199897542996,167304.71372222225
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.35_cw1.30,no_web,conservative,mid,1.35,1.3,137738.2705555556,4.5997834188370765,192408.14722222224,6.650802888128809,5.625293153482943,165073.2088888889
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.40_cw0.95,no_web,conservative,mid,1.4,0.95,136961.8707777778,4.629274306428726,239600.60611111112,8.032122061615645,6.330698184022186,188281.23844444446
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.40_cw1.00,no_web,conservative,mid,1.4,1.0,136961.8707777778,4.629274306428726,234472.57266666673,7.876996027924616,6.253135167176671,185717.22172222228
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.40_cw1.05,no_web,conservative,mid,1.4,1.05,136961.8707777778,4.629274306428726,229344.54700000005,7.721870232490868,6.175572269459797,183153.20888888894
